k,Lambda,X(k),,,,Y(k)
0,,,,,,1.000000,1.000000,1.000000,1.000000,
1,0.609001,0.111111,-0.461322,0.609001,-0.171589,0.182448,-0.757506,1.000000,-0.281755,
2,0.704138,-0.031306,-0.667898,0.704138,-0.354788,-0.044460,-0.948533,1.000000,-0.503861,
3,0.583980,-0.055985,-0.546917,0.583980,-0.317140,-0.095867,-0.936535,1.000000,-0.543066,
4,0.537985,-0.060341,-0.496159,0.537985,-0.296216,-0.112161,-0.922255,1.000000,-0.550603,
5,0.518127,-0.061178,-0.473654,0.518127,-0.286410,-0.118076,-0.914166,1.000000,-0.552779,
6,0.509946,-0.061420,-0.464273,0.509946,-0.282205,-0.120444,-0.910437,1.000000,-0.553402,
7,0.506411,-0.061489,-0.460204,0.506411,-0.280367,-0.121421,-0.908755,1.000000,-0.553636,
8,0.504907,-0.061515,-0.458467,0.504907,-0.279578,-0.121835,-0.908023,1.000000,-0.553723,
9,0.504259,-0.061525,-0.457719,0.504259,-0.279238,-0.122010,-0.907705,1.000000,-0.553759,
10,0.503982,-0.061529,-0.457398,0.503982,-0.279092,-0.122085,-0.907569,1.000000,-0.553773,
11,0.503863,-0.061530,-0.457261,0.503863,-0.279029,-0.122117,-0.907510,1.000000,-0.553780,
12,0.503812,-0.061531,-0.457202,0.503812,-0.279002,-0.122131,-0.907485,1.000000,-0.553782,
13,0.503790,-0.061531,-0.457176,0.503790,-0.278991,-0.122137,-0.907474,1.000000,-0.553784,
14,0.503781,-0.061532,-0.457166,0.503781,-0.278986,